danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.467,0.669,2,-9.399,1,0.0559,0.137,0.00933,0.835,0.673,126.917,284480
0.399,0.683,0,-13.233,1,0.0357,0.000384,0.00119,0.124,0.466,95.254,326001
0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400
0.412,0.523,2,-10.714,1,0.0335,0.115,7.34E-06,0.314,0.294,128.592,222467
0.702,0.841,2,-9.837,1,0.045,0.256,0.235,0.0584,0.271,134.919,513000
0.529,0.104,9,-19.669,1,0.0392,0.985,0.291,0.109,0.183,135.235,168107
0.545,0.608,0,-9.372,1,0.0369,0.193,0.0699,0.0769,0.681,165.617,232627
0.489,0.389,4,-11.653,0,0.0284,0.877,0.32,0.105,0.254,131.366,257787
0.544,0.352,7,-14.425,1,0.048,0.885,0.0625,0.198,0.206,74.163,226280
0.729,0.818,2,-9.992,1,0.0732,0.157,0.285,0.195,0.907,125.811,267000
0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,199200
0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,377093
0.432,0.848,4,-8.095,0,0.0878,0.274,0.0344,0.233,0.743,81.201,294000
0.327,0.895,9,-7.428,1,0.0367,0.000564,0.0159,0.104,0.898,169.39,219800
0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204,478173
0.47,0.806,2,-7.165,1,0.0369,0.379,0.0624,0.86,0.787,132.359,278907
0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,295387
0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,482830
0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204,478173
0.384,0.516,9,-12.032,0,0.0345,0.202,0.18,0.114,0.371,118.129,224133
0.405,0.736,8,-8.695,1,0.0396,0.0262,0.0108,0.177,0.5,131.133,489480
0.411,0.845,4,-6.821,0,0.0835,0.117,0.0146,0.0763,0.391,132.876,515960
0.547,0.308,0,-11.75,1,0.0377,0.505,0,0.109,0.41,114.719,217747
0.563,0.796,7,-7.731,1,0.0547,0.68,0,0.25,0.553,140.85,215800
0.572,0.912,3,-8.099,1,0.0562,0.0421,0.18,0.0742,0.637,137.323,222293
0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602,179387
0.727,0.57,6,-11.438,0,0.0358,0.36,0.0585,0.202,0.737,126.805,222773
0.562,0.561,11,-10.954,0,0.0343,0.412,1.98E-05,0.0917,0.666,113.911,395200
0.429,0.668,4,-7.539,0,0.044,0.208,0,0.538,0.398,77.737,211067
0.455,0.437,4,-11.411,1,0.0278,0.314,0,0.501,0.724,81.396,283640
0.659,0.678,0,-8.18,1,0.0313,0.157,6.69E-06,0.0784,0.647,106.186,258411
0.583,0.833,0,-8.29,1,0.0343,0.0531,5.57E-05,0.16,0.81,119.884,182800
0.48,0.626,5,-8.406,1,0.0294,0.266,5.70E-05,0.0857,0.542,75.63,199907
0.269,0.488,4,-9.622,0,0.033,0.402,0.483,0.449,0.187,101.392,297120
0.263,0.807,9,-8.617,0,0.0843,8.21E-06,0.296,0.13,0.461,160.479,154973
0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,252240
0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,210107
0.63,0.442,2,-14.864,1,0.0543,0.133,0.0154,0.092,0.349,95.367,284933
0.52,0.759,2,-9.92,1,0.0363,0.115,0,0.109,0.706,135.347,275467
0.682,0.537,2,-10.254,0,0.0323,0.218,3.07E-05,0.0556,0.963,124.574,356733
0.575,0.67,7,-10.39,1,0.0318,0.343,4.95E-06,0.129,0.74,139.191,211578
0.402,0.76,4,-5.332,1,0.0344,0.148,0.000225,0.128,0.714,135.947,197227
0.865,0.652,5,-9.046,1,0.143,0.566,0.000919,0.0833,0.829,90.081,169533
0.578,0.848,5,-6.842,1,0.0261,0.0563,0.00426,0.0963,0.779,87.246,264093
0.541,0.459,4,-10.433,0,0.0297,0.189,0.0274,0.099,0.803,171.165,187013
0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.771,135.975,181133
0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,340742
0.307,0.909,9,-7.08,0,0.0574,0.135,0.0336,0.125,0.443,173.674,366136
0.298,0.895,9,-7.647,0,0.0547,0.0283,0.00574,0.305,0.544,173.737,368507
0.69,0.367,11,-14.697,1,0.0368,0.036,0,0.0774,0.324,136.945,239507
0.615,0.91,11,-4.248,1,0.0347,0.5,0.511,0.281,0.77,111.013,226333
0.48,0.776,2,-5.65,1,0.0432,0.334,0.000217,0.133,0.95,171.135,313027
0.601,0.532,10,-9.119,1,0.0286,0.432,6.25E-06,0.0925,0.341,136.571,281613
0.425,0.867,2,-8.797,1,0.0356,0.157,0,0.408,0.761,142.859,207573
0.561,0.601,11,-11.209,0,0.0348,0.0407,0.000147,0.0585,0.752,144.477,279693
0.486,0.45,5,-10.298,1,0.0267,0.166,2.06E-06,0.54,0.55,100.456,254293
0.455,0.884,2,-9.159,1,0.0385,0.364,0,0.277,0.784,142.655,208413
0.476,0.788,2,-10.654,1,0.0322,0.0241,0.0377,0.358,0.936,89.552,159958
0.276,0.236,3,-13.742,1,0.0299,0.795,9.67E-05,0.366,0.261,83.611,293120
0.851,0.669,10,-9.562,1,0.0379,0.239,0.0852,0.108,0.911,126.624,300693
0.617,0.187,4,-18.646,0,0.0444,0.352,0.394,0.119,0.326,133.216,253467
0.668,0.76,7,-6.831,1,0.034,0.137,0,0.0803,0.61,114.378,235667
0.251,0.917,2,-5.552,1,0.118,0.000678,0.000453,0.217,0.504,127.112,149707
0.626,0.565,9,-10.027,1,0.0271,0.124,0,0.0811,0.924,116.61,233507
0.786,0.357,4,-15.838,0,0.0472,0.416,0.00119,0.0756,0.712,88.969,177507
0.479,0.571,7,-12.65,1,0.0388,0.0472,0.031,0.14,0.35,110.75,188775
0.674,0.686,2,-11.927,1,0.0597,0.29,0.00322,0.189,0.814,124.204,187173
0.458,0.502,5,-10.186,1,0.0294,0.442,5.51E-06,0.299,0.571,121.861,221120
0.605,0.846,2,-7.755,1,0.0337,0.0006,0.886,0.0526,0.952,124.247,176533
0.259,0.913,2,-8.477,1,0.134,0.0666,8.16E-05,0.803,0.513,144.815,306225
0.407,0.706,7,-5.526,1,0.0348,0.254,0.00693,0.125,0.54,164.022,361227
0.617,0.696,4,-12.739,1,0.0282,0.0155,0.000199,0.108,0.9,111.136,239760
0.723,0.647,7,-10.483,1,0.0567,0.257,0.000285,0.0562,0.96,125.016,344907
0.645,0.453,5,-10.087,0,0.0453,0.758,0.00183,0.0798,0.521,96.449,306933
0.624,0.388,4,-8.465,1,0.0242,0.336,0,0.0918,0.445,85.925,180133
0.637,0.89,7,-4.872,1,0.0677,0.119,6.72E-05,0.103,0.923,127.689,207093
0.623,0.91,9,-8.448,1,0.0384,0.319,0.000448,0.081,0.745,145.624,195307
0.705,0.499,1,-7.969,1,0.0265,0.409,6.59E-05,0.103,0.391,98.686,229507
0.411,0.633,9,-9.343,1,0.0299,0.00399,0.00189,0.151,0.754,78.727,303800
0.449,0.547,9,-12.259,1,0.0351,0.457,0,0.0737,0.74,152.211,179000
0.596,0.448,5,-9.616,1,0.0396,0.365,5.30E-06,0.206,0.796,83.293,264504
0.456,0.912,9,-9.728,1,0.0398,0.0473,0.000141,0.171,0.602,137.581,180667
0.336,0.366,0,-13.484,1,0.0292,0.62,0,0.344,0.48,178.122,338733
0.553,0.685,0,-10.981,1,0.0275,0.0151,0.149,0.19,0.57,137.898,218960
0.688,0.477,0,-11.945,1,0.029,0.38,4.93E-05,0.0864,0.897,132.071,234667
0.621,0.8,4,-7.284,0,0.0344,0.0263,1.51E-05,0.0591,0.968,149.91,235440
0.345,0.998,8,1.275,1,0.229,0.0756,1.76E-05,0.108,0.28,154.85,256067
0.469,0.537,9,-10.421,1,0.152,0.0241,0.00201,0.269,0.783,124.193,382834
